param,importance,dataset,algorithm
algorithm,0.001182245241663719,analcatdata_homerun.csv,AdaBoost
imputation,0.004251563311925113,analcatdata_homerun.csv,AdaBoost
learning_rate,0.06061805980239526,analcatdata_homerun.csv,AdaBoost
max_depth,0.12168712317722563,analcatdata_homerun.csv,AdaBoost
n_estimators,0.021180878976373087,analcatdata_homerun.csv,AdaBoost
"('learning_rate'; 'max_depth')",0.12860700255392735,analcatdata_homerun.csv,AdaBoost
"('max_depth'; 'n_estimators')",0.05328535494762421,analcatdata_homerun.csv,AdaBoost
"('learning_rate'; 'n_estimators')",0.04841933715030121,analcatdata_homerun.csv,AdaBoost
"('algorithm'; 'max_depth')",0.03468139011133499,analcatdata_homerun.csv,AdaBoost
"('imputation'; 'learning_rate')",0.020652585430829908,analcatdata_homerun.csv,AdaBoost
"('algorithm'; 'learning_rate')",0.011725339022847316,analcatdata_homerun.csv,AdaBoost
"('imputation'; 'n_estimators')",0.0113626653128275,analcatdata_homerun.csv,AdaBoost
"('imputation'; 'max_depth')",0.01094186393407379,analcatdata_homerun.csv,AdaBoost
"('algorithm'; 'n_estimators')",0.007722608593822225,analcatdata_homerun.csv,AdaBoost
"('algorithm'; 'imputation')",0.0015396361867020432,analcatdata_homerun.csv,AdaBoost
"('algorithm'; 'max_depth'; 'learning_rate')",0.03878406209683967,analcatdata_homerun.csv,AdaBoost
"('imputation'; 'max_depth'; 'learning_rate')",0.05210649974100777,analcatdata_homerun.csv,AdaBoost
algorithm,0.001297590728487859,phpvtdNPU.csv,AdaBoost
learning_rate,0.042632206516483154,phpvtdNPU.csv,AdaBoost
max_depth,0.4552606901910402,phpvtdNPU.csv,AdaBoost
n_estimators,0.03637362799999357,phpvtdNPU.csv,AdaBoost
"('max_depth'; 'n_estimators')",0.10368167764948044,phpvtdNPU.csv,AdaBoost
"('learning_rate'; 'max_depth')",0.08930949679025516,phpvtdNPU.csv,AdaBoost
"('learning_rate'; 'n_estimators')",0.03889707789451116,phpvtdNPU.csv,AdaBoost
"('algorithm'; 'max_depth')",0.01829921325364004,phpvtdNPU.csv,AdaBoost
"('algorithm'; 'learning_rate')",0.012952379155100186,phpvtdNPU.csv,AdaBoost
"('algorithm'; 'n_estimators')",0.006088712516655034,phpvtdNPU.csv,AdaBoost
"('algorithm'; 'max_depth'; 'learning_rate')",0.06262717228713635,phpvtdNPU.csv,AdaBoost
algorithm,0.007841548687777072,phpZZfh5g.csv,AdaBoost
learning_rate,0.03664788112807604,phpZZfh5g.csv,AdaBoost
max_depth,0.4593926053666625,phpZZfh5g.csv,AdaBoost
n_estimators,0.06188595974728307,phpZZfh5g.csv,AdaBoost
"('learning_rate'; 'max_depth')",0.0779275900030064,phpZZfh5g.csv,AdaBoost
"('max_depth'; 'n_estimators')",0.07666248452376086,phpZZfh5g.csv,AdaBoost
"('learning_rate'; 'n_estimators')",0.055282312604731015,phpZZfh5g.csv,AdaBoost
"('algorithm'; 'n_estimators')",0.01389321806526716,phpZZfh5g.csv,AdaBoost
"('algorithm'; 'learning_rate')",0.011054232113428503,phpZZfh5g.csv,AdaBoost
"('algorithm'; 'max_depth')",0.010090694951002442,phpZZfh5g.csv,AdaBoost
"('algorithm'; 'max_depth'; 'learning_rate')",0.022101248737520146,phpZZfh5g.csv,AdaBoost
algorithm,0.07955880998110573,phpuZu33P.csv,AdaBoost
learning_rate,0.34201205352987674,phpuZu33P.csv,AdaBoost
max_depth,0.2151799447879421,phpuZu33P.csv,AdaBoost
n_estimators,0.011653736256774643,phpuZu33P.csv,AdaBoost
"('learning_rate'; 'max_depth')",0.11015168083526497,phpuZu33P.csv,AdaBoost
"('algorithm'; 'learning_rate')",0.06610614308079915,phpuZu33P.csv,AdaBoost
