,param,importance,dataset,algorithm
0,algorithm,0.0778381670439952,mfeat-fourier,AdaBoost
1,learning_rate,0.0272071209303854,mfeat-fourier,AdaBoost
2,max_depth,0.6555131238961541,mfeat-fourier,AdaBoost
3,n_estimators,0.0235887164515752,mfeat-fourier,AdaBoost
4,('algorithm'; 'max_depth'),0.048183238657205,mfeat-fourier,AdaBoost
5,('learning_rate'; 'max_depth'),0.0387232536583757,mfeat-fourier,AdaBoost
6,('max_depth'; 'n_estimators'),0.0351246269058847,mfeat-fourier,AdaBoost
7,('algorithm'; 'learning_rate'),0.0095459427312063,mfeat-fourier,AdaBoost
8,('algorithm'; 'n_estimators'),0.0068143441498883,mfeat-fourier,AdaBoost
9,('learning_rate'; 'n_estimators'),0.0045733379658592,mfeat-fourier,AdaBoost
10,('algorithm'; 'max_depth'; 'learning_rate'),0.0304343027017638,mfeat-fourier,AdaBoost
11,criterion,0.0001693676623915,mfeat-fourier,GradientBoosting
12,learning_rate,0.6106097092148127,mfeat-fourier,GradientBoosting
13,max_depth,0.0156360277914072,mfeat-fourier,GradientBoosting
14,max_features,0.0089904513412539,mfeat-fourier,GradientBoosting
15,min_samples_leaf,0.0066667662169325,mfeat-fourier,GradientBoosting
16,min_samples_split,0.0015883929398648,mfeat-fourier,GradientBoosting
17,n_estimators,0.0151682394416364,mfeat-fourier,GradientBoosting
18,('learning_rate'; 'n_estimators'),0.0470669509654422,mfeat-fourier,GradientBoosting
19,('learning_rate'; 'max_depth'),0.0384193934612901,mfeat-fourier,GradientBoosting
20,('learning_rate'; 'min_samples_leaf'),0.0243986455973617,mfeat-fourier,GradientBoosting
21,('learning_rate'; 'max_features'),0.0232858278653244,mfeat-fourier,GradientBoosting
22,('max_depth'; 'n_estimators'),0.0139065525594107,mfeat-fourier,GradientBoosting
23,('learning_rate'; 'min_samples_split'),0.0068595600617533,mfeat-fourier,GradientBoosting
24,('max_features'; 'n_estimators'),0.0052963334235809,mfeat-fourier,GradientBoosting
25,('max_depth'; 'max_features'),0.0041239649964103,mfeat-fourier,GradientBoosting
26,('max_features'; 'min_samples_leaf'),0.0038429037621804,mfeat-fourier,GradientBoosting
27,('min_samples_leaf'; 'n_estimators'),0.0024847515925487,mfeat-fourier,GradientBoosting
28,('criterion'; 'max_features'; 'min_samples_leaf'),8.905776139591043e-05,mfeat-fourier,GradientBoosting
29,bootstrap,0.1697155422829225,mfeat-fourier,ExtraTrees
30,criterion,0.0049172590252912,mfeat-fourier,ExtraTrees
31,max_features,0.1107862139799865,mfeat-fourier,ExtraTrees
32,min_samples_leaf,0.5093328488788655,mfeat-fourier,ExtraTrees
33,min_samples_split,0.0055770899371082,mfeat-fourier,ExtraTrees
34,('max_features'; 'min_samples_leaf'),0.0310700936713346,mfeat-fourier,ExtraTrees
35,('min_samples_leaf'; 'min_samples_split'),0.0167148444212867,mfeat-fourier,ExtraTrees
36,('bootstrap'; 'min_samples_leaf'),0.0157816293054234,mfeat-fourier,ExtraTrees
37,('bootstrap'; 'max_features'),0.0156739052995233,mfeat-fourier,ExtraTrees
38,('max_features'; 'min_samples_split'),0.0056569993256135,mfeat-fourier,ExtraTrees
39,('criterion'; 'min_samples_leaf'),0.0035006966839978,mfeat-fourier,ExtraTrees
40,('bootstrap'; 'min_samples_split'),0.0033102167381187,mfeat-fourier,ExtraTrees
41,('criterion'; 'max_features'),0.0031042819267807,mfeat-fourier,ExtraTrees
42,('criterion'; 'min_samples_split'),0.0008105588890102,mfeat-fourier,ExtraTrees
43,('bootstrap'; 'criterion'),0.000702542564256,mfeat-fourier,ExtraTrees
