,dataset,classifier,parameters,CV_accuracy,CV_f1_score,CV_recall,CV_precision,CV_auc
0,analcatdata_authorship.csv,LogisticRegression,"{'C': 4.2535696195283945, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9988095238095236,0.9988095238095236,0.9988095238095236,0.9988095238095236,0.9992063492063492
1,churn.csv,LogisticRegression,"{'C': 9.928335884061273, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.8642,0.07463350442660788,0.03956647687543702,1.0,0.5197832384377185
2,churn.csv,LogisticRegression,"{'C': 5.8358315290037925, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.8630000000000001,0.059983726422082585,0.03112576166217161,1.0,0.5155628808310858
3,dataset_36_segment.csv,LogisticRegression,"{'C': 1.5663936925843038, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.8800865800865799,0.8800865800865799,0.8800865800865799,0.8800865800865799,0.9300505050505048
4,eye_movements.csv,LogisticRegression,"{'C': 5.043306910169722, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.4590763603109282,0.4590763603109282,0.4590763603109282,0.4590763603109282,0.5943072702331962
5,file7a97574fa9ae.csv,LogisticRegression,"{'C': 0.8978782818897098, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.8526554878048781,0.8574948693617669,0.8867979410331384,0.8302248480819063,0.8526506152534112
6,fri_c2_1000_10.csv,LogisticRegression,"{'C': 6.411055826274778, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.721,0.6570364135245275,0.6333333333333333,0.6892815729516761,0.7089080459770115
7,fri_c2_1000_5.csv,LogisticRegression,"{'C': 0.05045828362230498, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.747,0.6868507801575892,0.6682730923694779,0.7075706916962624,0.7357059537886294
8,jungle_chess_2pcs_raw_endgame_complete.csv,LogisticRegression,"{'C': 7.697165340878768, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.6742452821687535,0.6742452821687535,0.6742452821687535,0.6742452821687535,0.755683961626565
9,kc1.csv,LogisticRegression,"{'C': 4.724349811951476, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.8538809649784422,0.3219066988336781,0.2238694638694639,0.5817529381957695,0.5964978830378699
10,kdd_JapaneseVowels.csv,LogisticRegression,"{'C': 0.07600057899659722, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9402668879229914,0.7932820650331031,0.7075572563121358,0.9030777330948544,0.8464109189967951
11,kin8nm.csv,LogisticRegression,"{'C': 3.7390818517930113, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.7296135631706102,0.7338064351603265,0.7324829212260443,0.7352394158000944,0.7295608883192116
12,mfeat-morphological.csv,LogisticRegression,"{'C': 3.233465962707221, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9923401493021746,0.985,1.0,0.9925
13,mfeat-morphological.csv,LogisticRegression,"{'C': 1.4388477897973773, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9923401493021746,0.985,1.0,0.9925
14,mfeat-morphological.csv,LogisticRegression,"{'C': 5.8244854468100575, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9923401493021746,0.985,1.0,0.9925
15,mfeat-morphological.csv,LogisticRegression,"{'C': 0.4743882032246117, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9924050632911392,0.985,1.0,0.9925
16,mfeat-morphological.csv,LogisticRegression,"{'C': 7.9004356137881855, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9923401493021746,0.985,1.0,0.9925
17,mfeat-morphological.csv,LogisticRegression,"{'C': 6.26730952926907, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9924050632911392,0.985,1.0,0.9925
18,mfeat-morphological.csv,LogisticRegression,"{'C': 5.150683875727382, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9924050632911392,0.985,1.0,0.9925
19,mfeat-morphological.csv,LogisticRegression,"{'C': 7.2890039187006925, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9924050632911392,0.985,1.0,0.9925
20,mfeat-morphological.csv,LogisticRegression,"{'C': 4.93463511314423, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9923401493021746,0.985,1.0,0.9925
21,mfeat-morphological.csv,LogisticRegression,"{'C': 3.881332591456651, 'penalty': 'l2', 'dual': False, 'fit_intercept': False}",0.9985,0.9924050632911392,0.985,1.0,0.9925
22,mfeat-morphological.csv,LogisticRegression,"{'C': 0.891451574710817, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9924050632911392,0.985,1.0,0.9925
23,mfeat-morphological.csv,LogisticRegression,"{'C': 5.722426068348724, 'penalty': 'l2', 'dual': False, 'fit_intercept': True}",0.9985,0.9923401493021746,0.985,1.0,0.9925
